5	0.012073756	0.003571895	0.000931009	7.52387E-05	7.8002E-05
10	0.009857256	0.003892122	0.002147654	0.000111512	0.000104845
15	0.008525882	0.003794881	0.003114597	0.000187016	0.000121361
20	0.007617486	0.003623277	0.003788163	0.000321299	0.000132167
25	0.006947821	0.003449184	0.004242074	0.000508913	0.000140283
30	0.006428111	0.003289231	0.004544274	0.000735858	0.000147081
35	0.006009729	0.003146135	0.004742957	0.000988644	0.000153225
40	0.005663565	0.003018853	0.004870524	0.001256641	0.000159117
45	0.005371001	0.002905457	0.004948643	0.00153203	0.000165093
50	0.005119509	0.002804	0.004991959	0.001809207	0.000171497
55	0.004900304	0.002712753	0.005010517	0.002084194	0.0001787
60	0.004707018	0.00263025	0.005011317	0.002354184	0.000187083
65	0.004534932	0.002555265	0.004999311	0.002617219	0.000197018
70	0.004380428	0.002486781	0.004978051	0.002871961	0.000208845
75	0.004240707	0.002423951	0.004950116	0.003117525	0.000222861
80	0.00411355	0.002366066	0.004917399	0.00335337	0.000239308
85	0.003997183	0.002312531	0.004881305	0.003579207	0.000258374
90	0.00389016	0.002262844	0.004842879	0.003794938	0.000280191
95	0.003791296	0.002216577	0.004802909	0.004000609	0.000304841
100	0.003699604	0.002173365	0.00476199	0.004196369	0.00033236
105	0.003614257	0.002132894	0.00472057	0.004382447	0.000362747
110	0.003534556	0.002094892	0.004678991	0.004559124	0.000395966
115	0.003459904	0.002059124	0.004637511	0.004726721	0.000431957
120	0.00338979	0.002025383	0.004596326	0.004885581	0.000470639
125	0.003323772	0.001993489	0.004555583	0.005036064	0.000511912
130	0.003261466	0.001963282	0.00451539	0.005178536	0.000555667
135	0.003202538	0.001934621	0.004475828	0.005313361	0.000601786
140	0.003146692	0.001907383	0.004436955	0.005440902	0.000650145
145	0.003093669	0.001881453	0.004398811	0.005561513	0.000700618
150	0.003043239	0.001856734	0.004361421	0.005675539	0.000753077
155	0.002995197	0.001833136	0.004324801	0.005783313	0.000807395
160	0.00294936	0.001810577	0.004288959	0.005885156	0.000863447
165	0.002905565	0.001788985	0.004253894	0.005981376	0.000921112
170	0.002863665	0.001768294	0.004219603	0.006072266	0.000980272
175	0.002823527	0.001748443	0.004186077	0.006158106	0.001040811
180	0.00278503	0.00172938	0.004153305	0.006239162	0.001102621
185	0.002748066	0.001711053	0.004121272	0.006315689	0.001165595
190	0.002712536	0.001693418	0.004089965	0.006387925	0.001229635
195	0.002678349	0.001676432	0.004059366	0.006456098	0.001294645
200	0.002645423	0.001660058	0.004029458	0.006520423	0.001360534
205	0.002613682	0.00164426	0.004000225	0.006581104	0.001427218
210	0.002583056	0.001629006	0.003971647	0.006638333	0.001494615
215	0.002553483	0.001614265	0.003943707	0.006692291	0.001562649
220	0.002524903	0.001600011	0.003916387	0.006743151	0.001631249
225	0.002497261	0.001586217	0.003889669	0.006791075	0.001700347
230	0.002470508	0.001572859	0.003863535	0.006836215	0.001769879
235	0.002444596	0.001559916	0.003837968	0.006878716	0.001839787
240	0.002419483	0.001547367	0.003812952	0.006918715	0.001910014
245	0.002395128	0.001535192	0.003788469	0.006956341	0.001980508
250	0.002371494	0.001523374	0.003764504	0.006991714	0.002051221
255	0.002348547	0.001511895	0.003741041	0.00702495	0.002122106
260	0.002326252	0.001500741	0.003718066	0.007056158	0.00219312
265	0.002304581	0.001489896	0.003695562	0.00708544	0.002264225
270	0.002283505	0.001479346	0.003673517	0.007112893	0.002335382
275	0.002262996	0.00146908	0.003651916	0.007138608	0.002406557
280	0.00224303	0.001459083	0.003630747	0.007162672	0.002477717
285	0.002223583	0.001449346	0.003609995	0.007185167	0.002548832
290	0.002204634	0.001439857	0.00358965	0.007206171	0.002619874
295	0.002186161	0.001430607	0.003569698	0.007225755	0.002690817
300	0.002168145	0.001421584	0.003550129	0.007243991	0.002761636
305	0.002150566	0.001412781	0.003530932	0.007260943	0.002832309
310	0.002133409	0.001404189	0.003512095	0.007276673	0.002902814
315	0.002116656	0.001395799	0.003493608	0.007291241	0.002973133
320	0.002100291	0.001387605	0.003475461	0.007304703	0.003043247
325	0.0020843	0.001379598	0.003457644	0.00731711	0.003113139
330	0.002068669	0.001371772	0.003440149	0.007328513	0.003182793
335	0.002053384	0.00136412	0.003422967	0.007338961	0.003252196
340	0.002038433	0.001356636	0.003406087	0.007348497	0.003321334
345	0.002023805	0.001349313	0.003389503	0.007357164	0.003390194
350	0.002009486	0.001342148	0.003373207	0.007365004	0.003458766
355	0.001995467	0.001335133	0.003357189	0.007372055	0.003527039
360	0.001981738	0.001328264	0.003341444	0.007378354	0.003595003
365	0.001968288	0.001321536	0.003325963	0.007383935	0.00366265
370	0.001955108	0.001314944	0.00331074	0.007388831	0.003729971
375	0.00194219	0.001308484	0.003295768	0.007393074	0.003796959
380	0.001929524	0.001302152	0.00328104	0.007396695	0.003863608
385	0.001917103	0.001295943	0.00326655	0.00739972	0.00392991
390	0.001904919	0.001289854	0.003252292	0.007402179	0.003995861
395	0.001892964	0.001283881	0.003238261	0.007404095	0.004061456
400	0.001881232	0.00127802	0.003224449	0.007405495	0.004126689
405	0.001869715	0.001272267	0.003210853	0.007406401	0.004191557
410	0.001858406	0.001266621	0.003197466	0.007406836	0.004256056
415	0.001847301	0.001261077	0.003184283	0.00740682	0.004320182
420	0.001836392	0.001255632	0.0031713	0.007406375	0.004383934
425	0.001825675	0.001250284	0.003158511	0.007405519	0.004447307
430	0.001815143	0.00124503	0.003145913	0.007404272	0.0045103
435	0.001804791	0.001239866	0.003133499	0.007402649	0.004572911
